Breeding line,Yield
SWW11027B001_3,10.38
SWW11027B002_3,7.86
SWW11027B003_3,9.64
SWW11027B004_3,10.16
SWW11027B005_3,8.82
SWW11027B006_3,10.67
SWW11028B001_3,10.01
SWW11028B002_3,8.38
SWW11028B003_3,9.41
SWW11028B004_3,8.6
SWW11028B005T_3,8.23
SWW11039B001U_3,8.9
SWW11039B002U_3,9.34
SWW11039B003_3,8.97
SWW11039B004U_3,9.86
SWW11039B005U_3,8.82
SWW11040B001_3,8.82
SWW11040B0010_3,8.75
SWW11040B0011U_3,7.26
SWW11040B0012_3,9.12
SWW11040B0013_3,8.52
SWW11040B0014_3,7.93
SWW11040B0015_3,7.49
SWW11040B002_3,8.45
SWW11040B003_3,8.38
SWW11040B004_3,9.19
SWW11040B005U_3,9.04
SWW11040B006U_3,8.23
SWW11040B007_3,7.78
SWW11040B008_3,8.45
SWW11040B009_3,8.45
SWW11043B001_3,7.71
SWW11043B002_3,8.01
SWW11043B003U_3,8.38
SWW11043B004U_3,7.71
SWW11043B005_3,8.3
SWW11043B006U_3,7.93
SWW11044B001T_3,8.15
SWW11044B002_3,9.04
SWW11044B003_3,7.04
SWW11047B001U_3,6.3
SWW11047B002_3,9.12
SWW11047B003_3,7.93
SWW11047B005_3,8.75
SWW11050B001U_3,9.71
SWW11050B002_3,9.12
SWW11050B003_3,9.27
SWW11050B004U_3,8.52
SWW11050B005U_3,9.71
SWW11050B006_3,9.12
SWW11050B007U_3,8.3
SWW11051B001_3,8.9
SWW11051B002_3,9.27
SWW11051B003_3,7.12
SWW11051B004_3,10.9
SWW11051B005U_3,8.67
SWW11051B006_3,9.86
SWW11053B001_3,9.56
SWW11053B002_3,7.71
SWW11053B003_3,8.23
SWW11053B004_3,8.08
SWW11053B005_3,8.23
SWW11054B001U_3,6.89
SWW11055B001_3,7.78
SWW11055B002_3,9.12
SWW11055B003T_3,8.23
SWW11055B004U_3,9.19
SWW11057B001_3,8.67
SWW11059B001_3,8.97
SWW11059B002U_3,9.19
SWW11059B003_3,10.08
SWW11059B004U_3,8.75
SWW11059B005U_3,10.08
SWW11059B006U_3,9.04
SWW11059B007U_3,10.08
SWW11062B001U_3,8.08
SWW11062B002U_3,8.9
SWW11062B003_3,8.08
SWW11062B004U_3,8.9
SWW11062B005_3,8.75
SWW11062B006_3,9.27
SWW11062B007_3,8.6
SWW11062B008U_3,8.38
SWW11062B009U_3,8.23
SWW11066B001_3,7.86
SWW11066B002_3,8.01
SWW11066B003_3,8.15
SWW11066B004_3,7.86
SWW11066B005_3,8.3
SWW11066B006_3,8.67
